#{"t_start": 1713328390.8060434, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
372.698749,287,324.974467,65,3
4773.756519,2409,327.968408,598,37
4615.121066,2343,330.90696,658,34
2848.982889,1557,333.354857,415,22
3269.448657,1699,335.866858,450,20
3550.940769,1809,338.464859,495,26
5031.421884,2461,341.487903,605,36
5039.339895,2267,344.345944,621,38
1445.587075,797,345.294976,211,7
4208.126941,2181,348.106442,571,31
1705.204198,967,350.176476,248,9
4974.079336,2479,353.198164,642,36
2093.506742,1235,355.46416,312,6
387.512702,301,356.114163,61,1
3578.10813,1890,358.762284,514,24
636.97736,419,359.489355,93,3
3526.999455,1823,362.153874,509,27
3724.206046,1879,364.813117,522,31
2093.396541,1187,366.017117,335,14
1842.510361,915,368.088117,263,9
3315.943747,1705,370.582117,491,24
1664.523741,944,371.623116,262,13
1215.468735,715,372.51468,226,7
2936.063185,1519,374.93514,447,21
1448.194681,827,376.864185,256,10
1525.105986,842,377.846741,248,8
2022.271677,1174,379.027749,322,14
4552.933134,2304,382.965446,565,39
2051.994065,1133,384.127476,356,12
3959.110085,1962,386.836148,566,26
3652.510092,1818,389.45815,525,27
2969.664636,1548,391.907148,437,22
5499.48876,2930,395.210184,697,42
4601.804484,2356,398.156326,576,38
595.62838,401,399.873389,90,3
2874.665857,1497,401.271398,408,24
3000.022324,1550,403.708478,452,23
2610.641773,1417,406.075575,431,20
4239.741842,2143,408.887666,627,32
2622.622437,1277,410.1357,358,19
3001.797287,1549,412.597217,438,25
2197.032661,1138,414.768218,306,17
2106.901643,1161,415.946218,376,15
5686.489472,2795,420.155837,734,42
2115.62488,1143,421.322972,328,12
4179.241726,2013,424.030218,563,37
3004.471636,1552,426.506381,487,25
3437.94778,1754,429.026414,475,27
2657.860631,1366,430.325411,415,19
1970.06066,980,432.419411,283,10
4116.352494,2157,435.218412,541,27
2662.875686,1413,437.562065,452,18
4558.225554,2282,440.475025,572,35
2213.49572,1207,441.676037,389,16
2371.216359,1304,443.979074,394,16
3175.275278,1614,446.448592,452,25
2271.737995,1208,447.644592,371,18
3367.248284,1774,450.220594,492,28
3241.291087,1635,452.707277,460,26
3239.93204,1667,455.228332,486,24
2841.90901,1490,457.631862,456,20
3138.327216,1586,459.077401,451,24
3107.667081,1594,461.565427,452,20
2635.566968,1430,463.90025,402,19
3590.969854,1828,466.4993,547,25
2189.091938,1095,467.628312,346,11
1646.219682,897,469.663856,274,11
1111.157885,660,470.542092,193,4
982.363021,590,471.363124,179,6
2030.404401,1070,473.501217,347,14
2219.894389,1191,474.683216,373,19
3708.747036,1814,477.292253,531,30
3512.016415,1770,479.886341,477,26
1849.223437,1062,482.051343,315,9
2425.107719,1278,483.306367,401,15
5314.936984,2631,487.467871,608,45
323.894496,271,488.098871,35,2
2245.895559,1227,489.312889,370,12
105.748881,150,489.857888,17,0
3124.157244,1556,492.315917,478,25
3513.476517,1794,494.919911,536,27
2585.227922,1351,497.241496,383,17
396.600128,320,497.901495,50,4
5197.658523,2535,500.967558,688,41
4677.438922,2273,503.880407,635,38
3758.000894,1985,506.564448,561,26
4234.964652,2108,509.355447,620,35
2509.518968,1351,511.693463,405,15
5069.603311,2461,514.655067,595,39
2969.010612,1490,517.079725,472,23
3535.031041,1823,519.688771,486,31
3586.271608,1778,522.260066,520,25
2904.387147,1561,523.692064,481,25
3176.833753,1628,526.19487,454,23
4061.038974,2058,528.931913,557,33
4804.630218,2344,531.850443,632,40
2805.816584,1484,534.269884,413,21
1931.394044,1043,536.388238,332,14
1461.703509,815,537.363201,251,11
2986.019955,1578,539.819051,425,21
2029.941551,1122,540.972081,329,16
2071.362988,1113,543.10451,329,17
2163.811948,1180,544.294511,360,17
2856.603614,1522,546.716513,410,23
2157.621577,1135,548.876523,338,18
2985.491105,1590,550.323531,435,22
3194.652859,1569,552.758139,476,25
1900.111876,1060,554.866299,323,13
3052.517219,1607,556.318918,432,26
2944.513065,1528,558.779956,464,23
2681.570394,1388,561.095476,433,23
2011.580169,1090,562.221476,350,14
475.177513,343,563.951478,75,3
2430.201484,1286,565.207,375,20
2038.097675,1085,567.395023,343,16
3723.979551,1856,570.154623,538,29
1506.474488,800,571.108628,255,10
3411.398769,1769,573.703208,467,28
3625.893775,1836,576.346629,457,36
4126.083935,2019,579.071982,499,35
2884.403563,1531,581.447051,459,20
1020.240667,595,582.29021,169,5
3008.190991,1588,584.745374,421,25
3698.781228,1867,587.361892,499,30
4583.241647,2228,590.253892,569,34
3351.674091,1765,591.802903,538,26
2662.492366,1450,594.200473,437,22
5017.738367,2324,597.118922,632,43
4418.343205,2184,599.95696,557,33
3262.432659,1686,602.467475,517,24
3927.046108,1959,605.170476,531,28
3333.698319,1660,607.691495,472,26
2886.058109,1546,610.129561,451,19
2793.955463,1348,611.424192,437,23
3134.683214,1571,613.90133,438,22
1458.834598,852,615.923994,239,8
5835.443053,2838,619.152519,641,50
1818.950504,979,620.211524,321,9
3121.690054,1510,622.666584,459,26
1693.898014,972,624.749583,309,7
3158.776266,1544,626.167159,477,25
3981.988955,2040,628.908199,539,30
4283.164049,2102,631.710467,534,32
3878.679742,1967,634.419126,514,32
2528.360408,1388,636.773557,391,19
2940.892998,1492,639.181091,461,25
918.400563,563,639.985604,149,5
3248.979169,1628,642.453606,474,25
2351.129846,1235,643.677603,384,19
1223.880494,719,645.629604,214,6
1999.955589,1088,646.766603,350,15
137.593318,159,647.33317,26,0
2426.466072,1241,649.627171,367,21
2695.712329,1423,652.003172,410,19
3084.829953,1558,653.41317,447,22
1568.54291,875,655.40417,268,9
2466.281608,1299,658.414081,409,17
3238.498875,1671,659.921082,492,26
2505.084915,1344,662.230544,391,17
205.593978,174,662.796059,29,0
1570.529333,863,664.823092,256,11
649.664696,421,665.556611,118,4
1984.750479,1082,666.694611,285,11
2326.70818,1222,668.95161,377,17
2778.711481,1433,671.327612,439,22
1919.365381,1042,672.438622,336,14
2924.38432,1520,674.859742,415,20
2433.769159,1220,676.077406,368,14
1351.619437,775,678.06105,247,8
2581.10999,1282,679.311084,380,14
3073.907213,1589,681.808203,433,21
1714.858994,840,683.806928,261,10
2088.315904,1151,684.996977,359,15
1611.160787,926,687.042997,269,11
2166.577974,1155,688.225019,348,14
979.409564,598,689.042021,166,7
2915.627488,1444,691.426468,424,27
3187.534311,1611,693.912413,437,24
2677.981878,1328,696.199414,430,23
210.779182,204,696.789928,34,2
2806.566748,1467,698.163446,441,21
3840.771366,1913,700.861731,525,29
1393.532515,802,702.874071,239,8
2618.077928,1411,704.19805,430,18
3451.194029,1654,706.69705,495,27
2216.705983,1201,708.935999,327,18
1251.73779,725,709.844005,217,4
2220.733862,1168,712.066043,346,17
2376.765999,1279,713.317557,363,13
2771.085559,1519,715.748557,407,24
2136.835141,1103,717.891557,373,15
1674.339474,952,718.928569,295,10
3888.01136,1827,721.547628,517,35
2569.653235,1335,723.886359,376,17
1887.360293,999,724.969369,289,13
2454.761628,1326,727.268398,395,19
2332.708149,1233,728.490432,380,19
2131.672215,1137,730.679091,348,17
2385.506145,1291,732.964097,405,18
2477.763705,1316,734.241124,368,16
