#{"t_start": 1714151349.9674144, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
2314.162864,2042,362.100109,462,33
2425.517506,2322,372.286705,482,28
2714.878675,2373,382.80495,488,29
2172.680915,2515,395.324185,505,32
3017.819134,2651,407.925415,546,35
3086.702175,2720,421.015661,556,34
3014.188402,2611,433.244055,544,33
2967.992632,2523,445.853768,579,37
3537.554163,3113,462.201625,572,37
2408.372563,2373,472.651671,471,20
4650.789235,4019,499.269422,777,49
271.94155,333,501.074431,72,3
1258.194534,1101,503.86746,294,10
2566.059075,2451,515.002106,538,36
3557.340593,3103,532.387074,595,38
2892.833318,2471,543.606249,555,29
4844.828453,4671,578.286211,795,55
5404.721046,4810,615.878114,777,61
4484.572296,8604,724.97435,904,68
100.363799,204,725.61635,32,1
317.583461,377,726.485368,82,4
2552.42892,2123,735.301589,566,24
1466.199432,1244,739.672652,361,18
51.41337,170,740.281171,25,0
93.787869,197,740.916169,32,0
-68.447944,64,741.416687,3,0
1237.156774,1081,744.112237,296,11
1280.322739,1112,747.91881,300,10
32.898896,156,748.508819,16,0
2638.320165,2265,758.286527,507,42
3533.813679,3136,775.94767,667,48
-3.011652,118,776.497679,14,1
1935.403651,1641,782.625782,436,23
2439.869176,2068,791.135809,512,27
2158.974933,1810,797.121104,484,20
1816.029527,1552,802.851722,402,17
2348.340942,1994,810.896315,486,28
3434.317463,3011,827.408694,594,38
3837.584143,3277,845.318985,701,51
3565.027091,2998,861.782653,709,46
2161.848536,2041,870.134969,431,30
1130.944548,992,872.543031,282,8
2375.663784,1950,880.301124,569,24
2273.386471,1897,887.770342,511,27
2757.593615,2302,897.722018,595,32
1512.208135,1311,902.292074,384,14
3062.898064,2553,914.074084,649,44
2635.605245,2230,923.624866,540,33
3653.726909,3190,941.695035,700,48
2393.202066,2074,950.1972,472,23
5473.29403,4760,985.985924,900,73
756.024805,693,987.518449,197,4
5225.082142,4472,1020.575932,887,53
5167.570686,4456,1052.524285,879,61
4172.799056,4103,1080.171476,712,45
3245.356838,3596,1102.196091,636,50
1970.65044,1671,1107.444461,438,22
1724.278292,1457,1112.650518,403,17
3468.983539,2953,1128.630164,656,38
1032.630749,921,1130.821198,248,11
4388.161607,3768,1154.65723,756,50
3378.593478,3607,1176.815195,722,58
2224.673083,1872,1183.144263,490,24
2200.866746,1836,1190.301886,500,24
193.625824,284,1192.088404,47,2
85.9698,197,1192.749931,35,1
385.458752,416,1193.698446,107,1
1358.869313,1208,1196.855912,285,11
2103.560415,1797,1203.788332,444,23
-61.710125,69,1204.292332,3,0
68.557209,182,1204.903341,21,1
1455.236098,1220,1209.085888,372,14
1680.51065,1451,1214.279739,367,19
1996.508724,1692,1220.638182,443,24
-59.108297,72,1221.153182,4,0
2908.302396,2463,1232.261818,581,35
1552.933175,1330,1235.920639,361,16
3955.548532,3396,1256.024473,692,48
7302.691925,6745,1324.696454,1000,76
11.42244,146,1325.281454,20,0
-24.932309,103,1326.785453,10,0
117.814111,231,1327.477968,22,3
6260.500595,5763,1378.170226,950,72
3427.000771,2974,1394.354156,592,43
106.663106,212,1395.000156,28,0
4118.672192,3461,1415.726361,794,48
151.693261,250,1416.427363,35,2
441.800724,460,1417.461414,121,0
1969.203198,4524,1450.243022,669,49
1692.512821,3915,1475.803948,613,39
1603.47789,1351,1480.58742,391,15
820.650744,737,1482.232947,218,8
687.938064,664,1483.70298,177,5
5818.671632,4858,1521.93225,1000,70
4739.145932,4078,1549.294185,813,56
6149.20432,6470,1613.00741,1000,89
1446.922004,1241,1617.301162,343,16
4768.972669,4215,1646.190796,854,62
3844.503723,4026,1672.988521,811,63
3530.016652,3176,1690.008246,638,41
2647.796778,2746,1704.370677,542,35
2976.669587,2475,1715.570446,637,40
6394.532454,5428,1760.983567,1000,72
1284.101952,1094,1764.736594,336,11
1364.909199,1189,1768.825682,330,12
1073.758602,934,1771.050397,280,7
1409.924472,1201,1775.216444,352,9
6449.195137,5485,1821.443346,1000,97
1238.233236,1059,1825.041373,320,12
4984.091858,4584,1858.537679,894,83
3579.672535,3007,1873.976593,713,46
1752.294873,1456,1879.182992,434,17
3806.976663,3172,1897.064131,778,44
2208.266729,1818,1904.10084,523,26
4838.081569,4133,1932.000144,843,64
1580.586048,1511,1936.455239,339,22
400.557449,438,1938.485841,96,1
188.072778,277,1939.209363,46,2
2516.083174,2100,1947.906369,548,31
136.066292,236,1948.584369,38,1
3149.96756,2636,1961.061045,655,45
276.023857,343,1961.885045,66,0
2925.62563,2436,1972.799087,626,34
2179.826061,1837,1979.957225,480,30
1534.045986,1284,1984.415324,392,14
230.912703,311,1985.193334,54,1
1537.545583,1302,1989.711192,383,18
260.011256,330,1990.512221,72,2
2486.640483,2076,1999.062334,571,32
1369.548691,1154,2003.044363,358,16
2722.835223,2227,2012.554081,639,36
1431.271099,1229,2015.790624,334,16
1123.991213,961,2019.07714,296,11
815.243182,737,2020.716141,213,9
1140.555504,997,2024.153149,290,9
1804.385369,1507,2028.598258,428,20
1139.573444,985,2032.002812,298,7
735.406797,669,2033.472813,207,8
2006.557731,1637,2039.54293,504,23
1855.988167,1541,2045.143088,451,20
2578.396698,2127,2054.009717,583,34
2604.158355,2212,2063.42224,531,32
1910.097992,1615,2069.399819,436,23
2078.294778,1749,2075.044358,467,25
884.822255,787,2077.829359,231,7
3817.951863,3190,2094.863885,761,54
7.458928,153,2095.452895,11,1
4850.967782,4159,2123.72402,838,66
5207.27577,4409,2156.050093,931,68
2735.71644,2278,2165.89614,605,29
593.079766,572,2167.147151,170,4
1977.288229,1688,2173.449239,437,21
3531.23253,2963,2188.53004,706,46
3118.792822,2619,2201.847466,675,39
5620.876849,4657,2236.237394,1000,81
674.422147,656,2237.680443,176,5
1000.569813,869,2240.710442,267,7
1834.161022,1536,2245.289613,443,19
2307.02977,1928,2252.959542,512,29
4222.889173,3492,2273.966007,868,55
3079.247659,2522,2285.537778,689,39
586.571389,564,2286.77578,154,3
1992.31581,1664,2292.974663,466,25
5164.665797,4332,2323.330633,971,79
1664.71906,1396,2328.307665,400,18
5446.159233,4708,2363.480772,895,77
1123.75814,966,2366.824321,291,8
2206.250552,1815,2373.822451,524,24
3821.516117,3178,2390.806837,782,57
1476.896545,1239,2395.093932,378,15
4908.687629,4653,2429.475676,861,70
-63.093854,68,2429.985675,3,0
39.158633,155,2430.567675,20,0
-17.561562,108,2431.104676,10,0
1645.088012,1395,2436.034684,389,17
-39.458841,90,2436.562692,6,0
-70.4666,61,2437.067693,3,0
-22.862277,104,2437.606209,7,0
1883.620046,1590,2443.431369,429,16
1878.151148,1592,2449.277803,419,21
1731.921585,1432,2453.376802,437,20
794.329682,735,2456.053802,196,5
2203.74741,1862,2463.310898,477,21
1695.122415,1434,2467.408293,402,18
1489.724217,1266,2471.780337,368,13
1527.388687,1318,2476.380387,345,17
1368.278694,1192,2479.490422,314,12
4761.352237,4136,2507.44589,776,60
3243.038952,2844,2522.547191,659,45
2115.408379,1743,2528.17026,508,29
1218.529346,1061,2531.817296,293,9
2114.21989,1786,2538.697906,466,24
1795.829071,1488,2544.062492,445,15
542.709508,550,2545.26952,132,6
952.530809,844,2547.217589,245,5
1288.306075,1093,2550.946138,331,15
727.227758,677,2552.434901,188,8
1027.886681,913,2555.59094,262,7
3208.27903,2675,2568.451747,668,38
891.473017,811,2570.311782,219,8
3727.854539,3141,2587.979326,725,48
1439.216589,1248,2591.302418,327,14
2161.932038,1798,2598.227739,500,23
1956.638959,1654,2604.407444,442,24
1506.925416,1282,2608.861993,363,17
2246.8796,1893,2616.329668,489,26
3175.219841,2657,2628.911366,657,38
3693.701344,3135,2645.563068,693,47
4048.446697,3441,2666.078712,741,53
3389.031632,3313,2685.333456,703,58
3716.626283,3067,2701.318943,788,48
1997.428133,1685,2707.679898,449,20
3597.931563,2991,2723.971296,741,50
1427.411859,1202,2727.107398,361,13
1863.886834,1563,2732.786601,439,19
1966.796026,1634,2738.842773,476,23
2612.501483,2131,2747.703851,614,36
3.667276,127,2748.26185,13,0
4411.236514,3712,2771.523402,837,61
2979.115467,2469,2782.7162,643,39
2304.175367,1930,2790.392883,516,23
584.518408,575,2791.642404,145,5
2006.904976,1652,2797.791921,505,22
408.930142,433,2798.768923,113,3
2321.93647,1892,2806.20753,569,28
2459.548755,2020,2814.417594,574,31
2511.683154,2090,2823.055681,556,31
1775.422455,1498,2828.448327,415,20
2182.18098,1819,2835.478309,501,27
2539.911738,2082,2844.031239,596,33
531.638826,526,2845.189764,140,5
2293.498528,1926,2852.827315,501,28
719.926577,663,2854.287315,191,6
2377.372997,1952,2862.050416,562,31
1105.278334,956,2865.364455,287,8
3377.75171,2815,2879.234393,705,48
729.226858,672,2880.711392,192,8
2077.667286,1692,2887.068411,520,28
2353.508929,1934,2894.773936,560,24
1562.333105,1305,2899.332336,392,17
1523.263457,1295,2902.851439,364,12
1881.854749,1561,2908.541301,461,20
1209.659111,1054,2912.128299,294,10
2481.553221,2014,2920.284177,603,26
956.683418,858,2922.352186,238,11
1077.63379,937,2924.584725,279,6
1483.22123,1267,2928.980787,362,8
1156.577765,1020,2932.467628,276,11
2625.145124,2236,2942.040241,525,34
1769.749927,1472,2946.328221,437,19
2311.533467,1923,2953.964153,528,27
3013.666552,2508,2966.483416,641,42
1522.034881,1301,2970.023452,354,13
1695.620741,1406,2975.019488,425,15
2872.741708,2380,2985.552711,627,39
3014.798119,2465,2996.72561,691,43
1200.219435,1023,3000.263106,312,10
440.167131,464,3001.304115,113,5
1771.750398,1511,3006.759548,399,23
2229.70778,1831,3013.876706,539,22
1965.940829,1633,3018.929718,468,19
950.246861,833,3021.85472,254,10
-22.478541,107,3022.398719,10,0
870.584771,780,3024.161363,226,7
152.478079,256,3024.866398,28,1
2439.160801,1969,3032.778808,603,29
997.547719,886,3035.822746,248,10
1408.778423,1217,3039.032899,331,14
22.980577,156,3039.616908,10,2
1236.619675,1072,3043.280966,298,13
1378.214709,1182,3047.321033,334,11
2072.664818,1712,3052.798403,494,21
1815.991657,1532,3058.404812,427,23
998.723879,877,3061.461909,265,10
2107.224054,1748,3067.128093,504,26
-39.291187,86,3067.647117,6,0
1999.758965,1674,3073.914022,469,25
1205.205255,1059,3077.567041,279,15
764.417376,700,3079.122057,200,6
1721.206843,1460,3084.372102,399,18
1630.079965,1369,3088.192182,411,19
1204.921448,1064,3091.873217,275,11
1149.521639,987,3094.263217,299,11
32.869836,152,3095.836219,20,1
2666.855175,2254,3105.524358,550,38
1325.584873,1126,3108.382997,338,16
3418.340657,2898,3123.960336,688,46
1314.502397,1112,3126.777877,341,12
2786.224689,2351,3137.15665,576,38
2715.67665,2253,3146.814105,597,38
2628.766915,2272,3157.587239,515,32
2460.849738,2059,3166.054518,546,33
440.380862,456,3167.084575,120,5
925.616654,837,3169.012689,227,9
581.362718,571,3170.306743,142,5
1510.301598,1299,3174.980358,380,16
931.985665,836,3176.91441,233,6
1177.084117,1039,3180.543974,274,11
1772.156314,1497,3185.947987,408,18
1842.501376,1534,3190.517057,444,20
-23.162663,103,3192.015055,11,0
3328.747408,2789,3205.642735,676,47
1460.299735,1244,3208.955276,354,12
2535.110215,2275,3219.748416,537,35
1672.873665,1388,3223.657541,417,15
2866.243075,2388,3234.266765,615,39
2082.434965,1774,3241.093247,443,24
1653.753335,1440,3246.245407,350,19
-35.072941,91,3246.780442,8,0
1218.090018,1064,3250.445983,286,12
1911.611895,1575,3255.189844,485,23
1211.608506,1031,3258.719906,321,9
2363.693622,1994,3266.707954,506,29
2471.875687,2056,3275.145343,552,31
2188.687622,1836,3282.255514,488,25
2163.882898,1818,3289.268532,481,25
3192.661488,2796,3303.004769,617,50
196.913771,279,3303.746778,55,1
166.097602,270,3304.481778,33,0
1557.301918,1417,3309.507883,348,26
3184.734554,2613,3321.753148,708,42
2379.747495,1973,3329.67578,546,24
1803.708274,1506,3335.115639,439,21
280.725968,343,3335.959717,75,2
810.247337,734,3337.602241,212,6
1696.216713,1457,3342.80527,377,18
2387.749129,1994,3350.849373,534,27
2066.821708,1713,3357.303434,489,24
1230.617063,1056,3359.919966,313,12
2282.973055,1914,3367.519866,509,21
2349.530341,2004,3375.609544,485,30
1635.970616,1382,3380.504202,395,18
2463.953367,2051,3388.882788,551,37
2271.80094,1896,3396.29445,515,35
2313.253625,1915,3403.83655,535,31
2892.404213,2416,3414.640011,612,47
364.297045,415,3415.587019,86,1
306.985542,362,3416.444531,84,2
366.384356,419,3418.415566,84,1
1536.823148,1352,3422.174592,323,11
356.208477,419,3424.142591,74,2
154.612177,247,3424.840592,47,3
231.254384,311,3425.618591,59,1
2498.411514,2101,3434.325593,541,30
2112.454771,1782,3441.155602,470,24
2411.60026,2024,3449.381794,538,31
2635.939479,2196,3458.698517,578,31
1677.387963,1459,3462.928064,361,23
1813.538164,1538,3468.498149,412,21
1329.551606,1145,3472.459267,318,13
1744.657655,1464,3477.735837,431,17
2098.942028,1739,3483.36387,494,26
1541.695246,1330,3488.018902,350,17
1744.721948,1474,3493.293483,409,24
1000.400477,885,3495.3495,255,6
1925.060051,1621,3501.330392,441,23
2489.481852,2043,3509.66772,586,32
1267.399241,1079,3512.351306,329,14
2794.872696,2367,3523.775578,566,35
281.34831,345,3524.622091,74,2
1579.933003,1362,3528.417122,355,14
