#{"t_start": 1714147079.267661, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-266.638384,548,1.838,17,1
58.640548,180,2.476998,9,1
-3908.52138,765,4.266002,8,5
-414.249269,350,5.132009,0,3
94.77848,207,6.886011,25,1
111.808301,254,7.643034,19,1
181.98747,292,8.422033,25,1
-67.85038,555,9.678557,25,1
848.773697,1136,13.668594,68,11
-17.533848,404,14.634734,43,3
-49.806288,87,15.167736,6,0
-1881.63441,906,17.346651,16,8
-1480.958645,971,20.764671,49,10
241.429863,316,21.681672,53,5
-143.706203,117,22.256672,1,1
135.031489,250,22.984195,20,1
-18.232072,395,23.920242,29,1
-96.008859,98,24.460757,0,1
144.902817,268,25.209759,25,1
-356.870858,133,26.880296,0,1
293.662687,486,27.995651,63,3
346.924783,484,29.081173,48,2
161.749787,718,30.702417,67,0
148.838913,274,31.449416,31,0
89.780233,208,33.149415,19,1
-17.540982,112,33.712418,9,1
75.267356,203,34.367417,13,1
822.437177,849,36.395521,138,9
-46.585478,83,36.92952,5,0
-62.148776,188,37.581552,6,1
-33.869947,96,38.13455,7,0
442.769566,508,40.285599,70,1
105.733147,233,40.978232,16,1
-59.178076,72,41.508249,6,0
84.82333,198,42.164248,25,0
-67.193203,63,42.685284,3,0
91.001728,213,43.364311,12,0
257.642683,340,44.208327,57,1
336.489738,388,45.139367,85,0
-43.950631,86,45.672401,4,0
489.765686,527,47.845492,93,4
76.311485,194,48.495528,17,1
777.01174,754,50.239571,156,6
350.753418,412,51.207607,79,3
562.838078,590,53.510137,111,1
342.204451,457,54.567652,25,3
-62.497441,67,55.092653,3,0
61.49514,187,55.736167,14,1
331.754035,431,56.745682,40,0
386.20862,436,57.763682,84,3
-14.930359,105,58.317682,11,1
605.737354,679,60.951683,85,7
293.257645,370,61.857682,64,3
259.324735,385,62.782691,57,2
77.195233,242,63.491692,21,0
719.796841,692,66.080875,163,5
105.728167,215,66.763879,31,0
6.768437,218,67.449884,21,0
453.495211,480,68.547893,113,2
426.725034,542,69.783894,102,3
661.709044,674,72.301893,113,4
377.257377,447,73.339892,71,3
708.440348,679,74.885902,169,4
876.342883,821,77.778911,172,8
451.091339,535,78.993921,96,4
905.057035,900,81.160919,179,5
399.538481,467,82.234919,85,2
302.368429,396,84.179919,58,3
536.671885,531,85.376928,129,7
426.86585,495,86.504941,84,2
388.758218,451,87.554941,77,2
1010.847064,914,90.782481,231,12
578.115755,575,92.0705,143,6
532.329317,550,93.310029,114,4
527.031505,526,95.496102,142,6
460.389638,493,96.624138,122,3
931.724513,889,98.764343,184,10
912.926293,826,101.693387,220,8
532.047503,539,102.912903,134,1
1028.287539,922,105.148902,243,7
385.304824,429,107.157903,89,4
719.812513,679,108.70116,173,7
1143.669392,1033,111.309175,246,7
1037.187484,930,114.548805,236,12
925.927819,846,116.555833,243,7
1104.512919,1000,120.05987,240,10
1207.711682,1079,122.83622,274,11
736.322727,699,125.417952,173,5
-10.011794,114,125.983951,8,0
5.314515,126,126.564952,12,0
1056.894389,948,128.884952,263,13
966.412276,871,131.961951,223,9
920.718222,821,133.882998,237,10
26.000488,141,134.47401,15,0
552.05681,545,135.706025,145,4
1130.267715,1028,139.304002,236,9
163.200021,288,140.075532,46,3
1131.847729,985,143.521093,279,14
870.358988,782,145.360096,230,9
956.02303,852,147.407096,251,6
762.570495,715,150.085095,189,10
952.53757,844,152.099104,250,5
1130.312945,996,155.646203,270,9
892.486,803,157.584203,225,10
606.582345,595,158.933204,147,2
989.68579,881,162.024212,249,11
952.798098,844,164.031221,246,7
1175.0346,1015,167.53525,301,11
1076.442433,978,169.954252,256,9
1580.588835,1341,174.82532,373,19
36.453744,162,175.433322,23,1
779.546676,715,177.07536,200,5
-46.766677,81,177.608368,5,0
654.054006,622,180.038899,169,7
1078.193051,979,182.490901,256,10
1348.214672,1181,186.7809,315,13
63.233487,172,187.4169,25,1
1306.551815,1109,190.454952,336,12
1373.561629,1171,194.852036,339,15
1188.121432,1026,197.408052,306,8
1413.901772,1211,201.667978,346,15
1805.617612,1524,207.246539,425,24
1849.524984,1549,211.935645,447,22
1522.693339,1295,216.480375,364,18
1533.139542,1296,221.083409,392,17
1423.846663,1233,224.423386,338,18
152.036345,249,225.1279,43,0
2020.521594,1714,231.614164,448,23
1029.60214,914,234.788759,262,11
