#{"t_start": 1718503674.957149, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
-820.0,1201,3.205001,0,1
-747.5,1201,7.316001,0,1
-689.0,1201,10.464001,0,1
-614.5,1201,14.551003,1,1
-514.5,1201,17.683001,1,1
-315.5,1201,21.804001,4,1
-270.5,1201,25.935001,8,1
-179.0,1201,29.091001,12,1
-268.5,2360,39.448003,25,1
-36.0,1201,43.525001,19,2
8.5,1201,47.610002,20,1
87.5,1201,50.748003,25,1
124.5,1201,54.879005,26,1
169.5,1201,58.029001,29,1
197.0,1201,62.163001,29,1
178.5,1201,65.299001,31,1
699.5,4912,104.310001,112,1
1414.5,9997,251.23653,232,1
10255.5,25993,1203.691803,908,7
8884.5,17943,1662.190569,875,5
6846.0,13809,1937.330155,726,4
8813.5,17156,2356.351787,1000,7
8960.0,17538,2799.332362,983,13
5517.0,10679,2975.472236,653,6
6940.5,13505,3239.334467,846,14
4619.5,9284,3366.129479,605,4
8481.0,12594,3595.331749,764,17
8238.5,16037,3963.395273,1000,13
7910.5,15749,4318.350145,959,10
8249.5,15886,4679.395004,1000,18
5296.0,10649,4845.028027,687,7
7582.0,14797,5158.81789,982,16
7553.0,14746,5470.495921,968,12
5552.5,10661,5636.657041,643,8
6939.5,13863,5913.796824,826,13
6288.5,12697,6146.919883,727,3
5801.5,11717,6347.100892,661,2
8750.5,17101,6766.018259,1000,9
4733.5,9635,6902.258472,544,2
4546.0,9063,7024.519503,557,3
6399.0,12519,7251.655612,711,8
7436.5,13254,7504.666076,735,13
8200.0,16017,7872.294311,1000,10
4337.0,8785,7986.48324,584,3
7975.0,15655,8337.942932,1000,11
8532.0,16071,8707.941492,958,17
3715.0,7619,8795.660439,528,2
5771.5,11541,8988.718962,747,5
8273.0,16368,9371.630348,955,13
4290.0,8766,9485.53035,585,3
4379.0,8908,9604.078349,612,5
7497.5,14912,9923.019593,874,8
7728.0,15140,10252.04402,902,13
8968.0,17516,10691.815439,945,9
8148.5,13646,10960.799211,759,16
7391.5,14758,11274.090091,784,6
8025.5,15609,11624.335717,869,11
6437.5,12373,11846.727072,717,6
8606.0,17033,12261.359432,1000,6
6428.5,12702,12495.103402,704,9
8525.5,16917,12904.122344,1000,5
7263.5,13587,13170.633872,747,15
7844.0,15065,13496.098036,837,10
7578.5,13594,13762.936992,735,12
8397.5,16524,14154.128195,849,7
5349.0,10756,14323.16721,561,3
7424.0,14904,14643.947584,772,4
9521.0,18842,15149.868983,1000,6
7132.0,14069,15435.347402,694,6
5099.0,10396,15593.788925,573,1
6546.0,12683,15826.594844,675,9
5737.0,11648,16024.459818,597,2
9296.0,18115,16491.705445,928,11
8812.5,17441,16926.798522,929,8
7010.0,14050,17211.419693,794,5
7221.5,14572,17517.132479,766,4
8880.5,17772,17968.580708,946,5
5479.0,11102,18148.74272,639,2
6684.5,13279,18404.174251,682,9
6299.5,12700,18637.880513,712,4
8428.5,16670,19035.777164,844,9
8619.5,17022,19451.122582,844,8
8549.0,16196,19826.945338,825,17
4167.5,8482,19934.201053,441,2
5087.0,9699,20073.380055,541,6
8413.0,16397,20461.762143,889,6
5683.5,11238,20645.557209,617,5
