#{"t_start": 1718642877.0673547, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
2791.195403,2516,1007.269501,571,35
1540.510615,1724,1013.806503,444,19
2943.773219,2538,1025.554502,579,34
286.100441,479,1026.605502,111,3
376.635909,503,1028.721502,123,4
192.949684,381,1029.60351,85,2
898.686283,1127,1032.46851,268,6
2811.184121,2480,1043.703512,566,32
2046.515795,1939,1051.40151,469,24
474.93361,680,1053.928514,162,2
-133.995291,114,1054.498511,4,0
117.292438,319,1055.30351,44,1
972.434567,1083,1059.036512,291,10
109.199212,321,1059.837513,67,1
318.001525,400,1060.753511,88,1
1414.077056,1581,1066.550028,423,16
2001.633655,1946,1074.302032,458,23
2327.70997,1888,1081.683029,491,29
-53.81591,135,1082.259028,14,0
2234.828538,1815,1088.290269,486,26
2256.30497,2211,1098.640271,526,28
1692.153919,1596,1103.50927,438,21
289.265485,528,1105.666268,136,2
1390.731335,1331,1109.33527,380,13
1073.686965,939,1112.554271,258,17
1198.06062,1123,1115.400267,303,17
2713.297172,2799,1130.114271,621,31
3251.651476,3078,1146.244268,678,40
2250.383577,1944,1153.969268,473,27
-77.331239,97,1154.507268,9,1
696.651673,762,1156.231271,213,9
712.066267,815,1159.122268,234,6
3091.205634,2741,1172.293271,651,35
1107.562608,1102,1176.034268,304,13
1846.155097,1654,1182.14227,423,22
28.629718,233,1182.81427,22,2
-87.561929,82,1183.333269,6,0
2994.47236,2635,1195.775269,616,40
-45.6216,141,1196.352268,16,0
2943.604249,2834,1210.317271,627,41
4977.276914,4446,1243.059271,705,55
2986.446462,2850,1257.174268,642,38
2197.646374,2136,1266.167268,471,26
2224.18801,2277,1276.000268,487,28
1741.688446,1610,1281.957268,430,22
-83.649391,92,1282.492268,5,0
2229.198314,2008,1290.61927,512,26
1564.773501,1632,1296.766268,420,20
1174.893302,1168,1299.77327,335,10
-97.932272,65,1300.286271,3,0
3592.567849,2914,1315.935269,656,41
532.139791,659,1317.388268,135,7
2070.836996,1750,1324.032075,449,24
-77.338773,84,1324.552076,5,0
-67.411992,114,1325.104078,12,0
1745.526661,1710,1331.775088,422,23
2918.448669,2445,1342.73309,604,37
1927.29884,1748,1349.308088,482,19
1129.402221,1262,1353.689088,357,13
2288.464957,1812,1359.65909,434,27
1725.364315,1509,1365.162087,408,23
3366.593053,2589,1377.268087,605,35
1073.876249,1044,1380.848088,315,12
3512.487332,2562,1392.75209,659,38
1837.412151,1593,1398.693088,449,21
1042.492272,1014,1401.162088,314,12
1948.050915,1605,1407.036088,417,21
724.886082,774,1409.76009,217,7
2338.659158,1932,1417.469088,578,29
2301.718051,1887,1424.88009,530,31
2058.719533,1703,1430.310088,467,25
-57.771379,78,1430.835088,5,0
1390.598592,1230,1435.139087,352,16
1493.744821,1417,1440.12309,397,14
892.378934,1015,1442.609087,268,10
454.734165,560,1443.856089,145,4
2296.974629,1868,1451.144091,467,25
1024.288519,947,1454.439088,291,12
1848.324007,1550,1460.05709,411,19
362.73839,502,1461.167088,141,3
902.346289,995,1463.57909,281,11
393.53886,532,1465.78209,143,2
1450.917747,1279,1469.254088,362,22
1667.06322,1406,1474.217091,381,25
979.572376,1005,1476.653088,281,13
669.034439,751,1479.32109,212,6
1454.227815,1076,1481.989089,336,14
927.26388,943,1485.232088,241,10
1470.683178,1231,1488.48309,365,17
380.153318,483,1490.551087,134,6
940.970719,891,1492.626091,287,11
2006.101848,1678,1498.908089,473,22
1023.651666,984,1501.312089,296,10
983.789131,923,1504.48909,252,10
531.941563,601,1505.809088,163,5
1593.232686,1543,1511.416087,411,20
2202.291616,1729,1517.87809,497,24
301.870071,514,1519.013088,141,0
2227.508106,1899,1526.466093,496,28
476.085822,620,1527.819088,139,8
181.829609,385,1528.714089,68,1
303.013815,451,1530.709088,122,5
511.122824,696,1532.259609,153,7
217.521486,466,1533.31461,105,2
-750.244786,808,1535.185612,127,8
150.34416,388,1537.109611,86,2
1997.542033,1616,1542.085612,465,26
2003.768652,1580,1547.840609,458,23
355.145188,517,1548.977609,117,4
383.398492,526,1551.104611,135,6
2194.5117,1964,1558.931609,413,25
200.128727,434,1559.918611,107,2
359.586645,538,1561.099609,137,3
2343.582018,2179,1570.327609,489,30
1786.988727,1501,1575.775609,409,22
1767.935185,1551,1581.488613,418,23
