#{"t_start": 1713322880.695314, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t,score,total_airtime
3460.090701,2935,860.454626,129,4
5550.655897,3649,865.117168,211,2
5552.829513,3468,869.611731,438,10
2913.302824,1943,871.233729,137,0
1276.158952,896,873.239729,57,1
2290.916299,2285,876.054288,86,1
2440.663586,1637,878.531276,123,0
6418.083341,4211,883.511035,229,5
4368.626716,3484,888.093599,144,8
5173.556835,3408,891.571642,199,0
3886.922947,3269,896.000247,165,3
3715.714966,3105,899.294903,122,5
4788.408953,3160,903.712986,176,3
3465.42844,2432,906.732985,138,2
14972.432277,1826,909.280996,67,0
2715.447573,1902,911.897206,123,1
5229.085128,3243,915.257893,399,11
3147.401827,2763,919.421457,124,1
3415.263194,2959,922.637457,126,7
6552.71658,2214,925.411469,87,18
2040.219459,2058,928.10362,88,2
3222.81611,2144,930.892342,145,0
3762.842657,2490,934.935626,163,1
3778.418766,2570,937.95582,152,0
18578.4391,4543,943.159891,208,4
6329.75752,4107,948.06795,230,4
3240.550345,2898,952.255471,125,4
3761.680395,3220,955.652472,143,1
4052.751737,2680,958.724493,165,2
2290.856776,1552,961.125116,94,2
12974.609443,2840,965.315672,149,1
6014.15781,3802,969.015673,460,12
4605.187162,2873,973.24176,146,5
6752.592313,4192,978.181332,517,15
5707.199039,3566,982.765332,458,8
4534.652106,3739,986.434804,184,3
4225.785531,2793,990.581922,171,1
15963.784783,2886,993.760669,127,2
3085.51985,2058,996.450394,136,0
125.73814,166,997.003908,15,0
2698.449452,1818,999.57487,105,3
5826.830507,3730,1004.288806,213,2
5070.536441,3313,1008.728719,200,9
4243.171812,3558,1012.382764,137,3
7820.07252,2883,1016.581808,116,18
3079.84201,2699,1019.677816,111,1
3560.404257,2365,1022.573998,151,0
2261.825578,2169,1025.361098,83,3
3265.608288,2169,1028.097636,145,1
4322.471588,3450,1032.638636,150,2
12778.418083,2428,1035.533689,86,3
4614.385933,3577,1040.127907,189,7
1941.044428,1346,1042.412015,86,0
15353.565107,1608,1043.819041,43,1
2996.978887,2495,1047.750728,107,19
3666.362205,3032,1051.012397,150,2
3231.259603,2101,1053.72351,109,6
5114.238955,3357,1058.169744,185,5
