#{"t_start": 1705500216.1232781, "env_id": "hill_racing_env/HillRacing-v0"}
r,l,t
1116.557463,1027,952.4515
1305.770442,1216,953.258054
1406.716094,1245,955.025063
2227.493876,1954,957.062106
3375.917387,2959,959.538413
2394.622046,2281,962.751341
579.38966,587,963.317723
1632.339831,1445,964.248101
2079.077775,1808,966.216163
2674.496064,2358,969.356292
2375.381863,2474,971.607848
2599.653055,2304,973.804115
1181.28348,1088,974.549999
1466.159356,1333,976.317326
1609.094057,1768,978.281644
1728.210873,1479,980.207811
3496.391229,3105,982.81691
758.419917,757,984.389457
447.795563,502,984.947517
757.72617,727,985.518513
2774.926906,2395,987.699064
2611.720905,2298,989.902609
1366.280838,1251,991.669134
3771.607878,3580,995.531271
947.53588,891,996.198082
778.5511,766,997.695606
4745.584979,4259,1001.652152
2628.070478,2430,1003.929311
4544.557394,4178,1007.883003
2505.659539,2230,1010.074888
1093.96459,1019,1010.807288
2609.001853,2308,1014.000015
3963.02631,3519,1016.714317
